θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.009,0.01
0.02,0.021,0.017
0.03,0.028,0.028
0.04,0.037,0.036
0.05,0.051,0.047
0.06,0.059,0.057
0.07,0.075,0.068
0.08,0.085,0.077
0.09,0.093,0.084
0.1,0.099,0.097
0.11,0.105,0.106
0.12,0.113,0.115
0.13,0.125,0.123
0.14,0.132,0.133
0.15,0.142,0.143
0.16,0.149,0.149
0.17,0.158,0.163
0.18,0.167,0.177
0.19,0.175,0.186
0.2,0.185,0.195
0.21,0.2,0.203
0.22,0.213,0.21
0.23,0.221,0.223
0.24,0.234,0.226
0.25,0.244,0.234
0.26,0.252,0.239
0.27,0.256,0.249
0.28,0.263,0.265
0.29,0.274,0.276
0.3,0.283,0.285
0.31,0.292,0.295
0.32,0.3,0.306
0.33,0.305,0.317
0.34,0.31,0.333
0.35,0.32,0.348
0.36,0.327,0.361
0.37,0.336,0.371
0.38,0.349,0.383
0.39,0.355,0.391
0.4,0.368,0.397
0.41,0.381,0.406
0.42,0.394,0.415
0.43,0.402,0.433
0.44,0.416,0.443
0.45,0.425,0.457
0.46,0.434,0.464
0.47,0.443,0.472
0.48,0.45,0.486
0.49,0.468,0.496
0.5,0.481,0.506
0.51,0.491,0.512
0.52,0.502,0.52
0.53,0.516,0.53
0.54,0.532,0.534
0.55,0.543,0.542
0.56,0.553,0.549
0.57,0.557,0.559
0.58,0.566,0.572
0.59,0.575,0.577
0.6,0.59,0.584
0.61,0.602,0.594
0.62,0.614,0.605
0.63,0.625,0.614
0.64,0.636,0.621
0.65,0.644,0.631
0.66,0.651,0.641
0.67,0.661,0.651
0.68,0.666,0.663
0.69,0.672,0.673
0.7,0.681,0.681
0.71,0.688,0.693
0.72,0.696,0.707
0.73,0.711,0.725
0.74,0.719,0.736
0.75,0.73,0.749
0.76,0.739,0.759
0.77,0.752,0.772
0.78,0.765,0.787
0.79,0.773,0.796
0.8,0.784,0.805
0.81,0.792,0.818
0.82,0.81,0.826
0.83,0.82,0.84
0.84,0.828,0.853
0.85,0.834,0.861
0.86,0.839,0.872
0.87,0.852,0.882
0.88,0.861,0.889
0.89,0.867,0.899
0.9,0.876,0.908
0.91,0.88,0.914
0.92,0.893,0.922
0.93,0.9,0.93
0.94,0.915,0.939
0.95,0.927,0.949
0.96,0.942,0.956
0.97,0.952,0.966
0.98,0.962,0.974
0.99,0.973,0.984
1.0,0.989,0.991
