θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.014,0.012
0.02,0.024,0.021
0.03,0.033,0.031
0.04,0.049,0.039
0.05,0.061,0.051
0.06,0.065,0.062
0.07,0.076,0.074
0.08,0.089,0.081
0.09,0.098,0.095
0.1,0.105,0.106
0.11,0.12,0.117
0.12,0.131,0.127
0.13,0.14,0.139
0.14,0.154,0.145
0.15,0.166,0.156
0.16,0.176,0.171
0.17,0.185,0.183
0.18,0.194,0.192
0.19,0.204,0.2
0.2,0.209,0.212
0.21,0.217,0.222
0.22,0.232,0.227
0.23,0.244,0.237
0.24,0.251,0.244
0.25,0.261,0.256
0.26,0.272,0.266
0.27,0.281,0.274
0.28,0.289,0.283
0.29,0.3,0.289
0.3,0.314,0.3
0.31,0.322,0.308
0.32,0.333,0.319
0.33,0.342,0.327
0.34,0.35,0.332
0.35,0.362,0.34
0.36,0.368,0.351
0.37,0.373,0.36
0.38,0.387,0.374
0.39,0.392,0.383
0.4,0.401,0.391
0.41,0.404,0.403
0.42,0.413,0.411
0.43,0.424,0.418
0.44,0.436,0.426
0.45,0.444,0.437
0.46,0.451,0.446
0.47,0.463,0.458
0.48,0.474,0.467
0.49,0.482,0.475
0.5,0.485,0.488
0.51,0.5,0.499
0.52,0.51,0.509
0.53,0.521,0.518
0.54,0.528,0.528
0.55,0.538,0.538
0.56,0.552,0.555
0.57,0.567,0.561
0.58,0.571,0.572
0.59,0.579,0.577
0.6,0.594,0.586
0.61,0.6,0.598
0.62,0.612,0.606
0.63,0.62,0.615
0.64,0.631,0.624
0.65,0.639,0.636
0.66,0.644,0.645
0.67,0.65,0.65
0.68,0.655,0.661
0.69,0.666,0.666
0.7,0.675,0.674
0.71,0.683,0.686
0.72,0.694,0.691
0.73,0.706,0.708
0.74,0.715,0.713
0.75,0.717,0.717
0.76,0.727,0.727
0.77,0.744,0.74
0.78,0.754,0.749
0.79,0.764,0.761
0.8,0.775,0.77
0.81,0.783,0.779
0.82,0.789,0.795
0.83,0.807,0.804
0.84,0.816,0.814
0.85,0.825,0.824
0.86,0.842,0.839
0.87,0.85,0.848
0.88,0.858,0.857
0.89,0.869,0.87
0.9,0.883,0.878
0.91,0.891,0.886
0.92,0.899,0.893
0.93,0.909,0.902
0.94,0.922,0.909
0.95,0.935,0.922
0.96,0.946,0.939
0.97,0.959,0.949
0.98,0.972,0.963
0.99,0.983,0.98
1.0,0.996,0.995
