θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.005,0.006
0.02,0.013,0.018
0.03,0.026,0.031
0.04,0.033,0.04
0.05,0.047,0.053
0.06,0.056,0.06
0.07,0.071,0.071
0.08,0.083,0.081
0.09,0.097,0.094
0.1,0.109,0.105
0.11,0.119,0.119
0.12,0.128,0.129
0.13,0.136,0.135
0.14,0.142,0.138
0.15,0.149,0.158
0.16,0.155,0.168
0.17,0.164,0.176
0.18,0.172,0.187
0.19,0.177,0.192
0.2,0.19,0.2
0.21,0.199,0.213
0.22,0.208,0.224
0.23,0.218,0.231
0.24,0.232,0.242
0.25,0.248,0.25
0.26,0.259,0.256
0.27,0.269,0.268
0.28,0.279,0.282
0.29,0.287,0.293
0.3,0.297,0.304
0.31,0.309,0.318
0.32,0.32,0.329
0.33,0.331,0.336
0.34,0.342,0.342
0.35,0.35,0.347
0.36,0.357,0.355
0.37,0.363,0.364
0.38,0.367,0.371
0.39,0.371,0.378
0.4,0.386,0.386
0.41,0.398,0.396
0.42,0.408,0.412
0.43,0.416,0.414
0.44,0.425,0.424
0.45,0.434,0.435
0.46,0.441,0.445
0.47,0.45,0.448
0.48,0.464,0.46
0.49,0.476,0.47
0.5,0.488,0.482
0.51,0.494,0.492
0.52,0.504,0.498
0.53,0.517,0.506
0.54,0.526,0.514
0.55,0.532,0.518
0.56,0.54,0.529
0.57,0.553,0.541
0.58,0.56,0.551
0.59,0.573,0.561
0.6,0.581,0.574
0.61,0.595,0.585
0.62,0.604,0.595
0.63,0.613,0.606
0.64,0.621,0.611
0.65,0.63,0.622
0.66,0.643,0.626
0.67,0.656,0.644
0.68,0.67,0.653
0.69,0.675,0.662
0.7,0.682,0.674
0.71,0.692,0.691
0.72,0.701,0.701
0.73,0.711,0.719
0.74,0.723,0.734
0.75,0.738,0.746
0.76,0.747,0.753
0.77,0.762,0.764
0.78,0.775,0.77
0.79,0.786,0.78
0.8,0.794,0.788
0.81,0.802,0.798
0.82,0.809,0.803
0.83,0.82,0.814
0.84,0.829,0.826
0.85,0.838,0.836
0.86,0.846,0.845
0.87,0.862,0.855
0.88,0.871,0.865
0.89,0.88,0.874
0.9,0.895,0.879
0.91,0.904,0.89
0.92,0.915,0.903
0.93,0.922,0.915
0.94,0.938,0.926
0.95,0.947,0.934
0.96,0.958,0.948
0.97,0.966,0.957
0.98,0.977,0.97
0.99,0.982,0.977
1.0,0.991,0.99
