n,2,5,10,50,100,200,300
10,0.03,0.23,0.09,0.2,0.33,0.31,0.28
50,0.07,0.3,0.44,0.58,0.63,0.71,0.82
100,0.33,0.56,0.75,0.86,0.98,0.95,0.92
200,0.47,0.94,0.96,0.99,1.0,1.0,1.0
300,0.84,0.98,0.99,1.0,1.0,1.0,1.0
