n,2,5,10,50,100,200,300
10,0.19,0.06,0.02,0.28,0.18,0.06,0.09
50,0.07,0.17,0.03,0.16,0.21,0.06,0.13
100,0.02,0.02,0.14,0.02,0.05,0.09,0.03
200,0.05,0.05,0.04,0.01,0.13,0.06,0.07
300,0.04,0.01,0.0,0.06,0.1,0.04,0.06
