n,5,10,50,100,200,300
10,0.14,0.15,0.13,0.05,0.07,0.03
50,0.02,0.08,0.06,0.03,0.09,0.06
100,0.06,0.09,0.03,0.05,0.02,0.01
200,0.14,0.08,0.09,0.07,0.08,0.06
300,0.08,0.08,0.07,0.04,0.02,0.06
