n,5,10,50,100,200,300
10,0.16,0.07,0.27,0.16,0.17,0.16
50,0.63,0.66,0.86,0.59,0.74,0.66
100,0.86,0.95,0.95,0.96,0.92,0.9
200,1.0,1.0,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0,1.0,1.0
