θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.032,0.141
0.02,0.047,0.242
0.03,0.061,0.337
0.04,0.075,0.407
0.05,0.081,0.472
0.06,0.102,0.513
0.07,0.126,0.548
0.08,0.133,0.602
0.09,0.149,0.64
0.1,0.164,0.678
0.11,0.173,0.702
0.12,0.187,0.72
0.13,0.206,0.739
0.14,0.214,0.752
0.15,0.224,0.773
0.16,0.236,0.788
0.17,0.247,0.803
0.18,0.255,0.815
0.19,0.272,0.829
0.2,0.283,0.842
0.21,0.296,0.854
0.22,0.31,0.862
0.23,0.318,0.866
0.24,0.327,0.871
0.25,0.336,0.876
0.26,0.347,0.884
0.27,0.363,0.89
0.28,0.373,0.896
0.29,0.389,0.905
0.3,0.401,0.913
0.31,0.416,0.913
0.32,0.428,0.916
0.33,0.444,0.924
0.34,0.454,0.927
0.35,0.466,0.931
0.36,0.476,0.936
0.37,0.484,0.938
0.38,0.501,0.941
0.39,0.52,0.944
0.4,0.536,0.946
0.41,0.546,0.947
0.42,0.559,0.951
0.43,0.566,0.955
0.44,0.573,0.957
0.45,0.582,0.96
0.46,0.591,0.964
0.47,0.602,0.966
0.48,0.623,0.967
0.49,0.632,0.967
0.5,0.645,0.97
0.51,0.665,0.97
0.52,0.678,0.971
0.53,0.693,0.971
0.54,0.707,0.972
0.55,0.722,0.974
0.56,0.736,0.975
0.57,0.752,0.978
0.58,0.764,0.979
0.59,0.782,0.98
0.6,0.793,0.982
0.61,0.801,0.985
0.62,0.813,0.985
0.63,0.823,0.985
0.64,0.836,0.986
0.65,0.844,0.987
0.66,0.853,0.989
0.67,0.863,0.989
0.68,0.869,0.989
0.69,0.877,0.99
0.7,0.886,0.991
0.71,0.892,0.992
0.72,0.896,0.992
0.73,0.905,0.993
0.74,0.917,0.993
0.75,0.926,0.993
0.76,0.93,0.994
0.77,0.937,0.994
0.78,0.942,0.995
0.79,0.948,0.995
0.8,0.953,0.996
0.81,0.959,0.996
0.82,0.964,0.997
0.83,0.969,0.997
0.84,0.972,0.997
0.85,0.975,0.997
0.86,0.978,0.998
0.87,0.98,0.998
0.88,0.982,0.998
0.89,0.983,0.998
0.9,0.984,0.999
0.91,0.984,1.0
0.92,0.99,1.0
0.93,0.992,1.0
0.94,0.993,1.0
0.95,0.996,1.0
0.96,0.998,1.0
0.97,0.999,1.0
0.98,0.999,1.0
0.99,1.0,1.0
1.0,1.0,1.0
