θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.002,0.289
0.02,0.003,0.549
0.03,0.01,0.758
0.04,0.013,0.863
0.05,0.017,0.935
0.06,0.023,0.962
0.07,0.036,0.981
0.08,0.055,0.995
0.09,0.064,0.998
0.1,0.079,0.999
0.11,0.101,0.999
0.12,0.123,1.0
0.13,0.145,1.0
0.14,0.163,1.0
0.15,0.183,1.0
0.16,0.209,1.0
0.17,0.228,1.0
0.18,0.253,1.0
0.19,0.286,1.0
0.2,0.309,1.0
0.21,0.341,1.0
0.22,0.365,1.0
0.23,0.389,1.0
0.24,0.416,1.0
0.25,0.436,1.0
0.26,0.463,1.0
0.27,0.495,1.0
0.28,0.514,1.0
0.29,0.538,1.0
0.3,0.569,1.0
0.31,0.59,1.0
0.32,0.614,1.0
0.33,0.624,1.0
0.34,0.645,1.0
0.35,0.658,1.0
0.36,0.673,1.0
0.37,0.689,1.0
0.38,0.705,1.0
0.39,0.722,1.0
0.4,0.732,1.0
0.41,0.74,1.0
0.42,0.751,1.0
0.43,0.765,1.0
0.44,0.781,1.0
0.45,0.797,1.0
0.46,0.809,1.0
0.47,0.82,1.0
0.48,0.83,1.0
0.49,0.839,1.0
0.5,0.846,1.0
0.51,0.855,1.0
0.52,0.866,1.0
0.53,0.874,1.0
0.54,0.883,1.0
0.55,0.889,1.0
0.56,0.896,1.0
0.57,0.899,1.0
0.58,0.904,1.0
0.59,0.911,1.0
0.6,0.914,1.0
0.61,0.922,1.0
0.62,0.93,1.0
0.63,0.932,1.0
0.64,0.936,1.0
0.65,0.94,1.0
0.66,0.947,1.0
0.67,0.949,1.0
0.68,0.953,1.0
0.69,0.957,1.0
0.7,0.958,1.0
0.71,0.96,1.0
0.72,0.96,1.0
0.73,0.962,1.0
0.74,0.966,1.0
0.75,0.969,1.0
0.76,0.973,1.0
0.77,0.974,1.0
0.78,0.976,1.0
0.79,0.979,1.0
0.8,0.982,1.0
0.81,0.983,1.0
0.82,0.984,1.0
0.83,0.985,1.0
0.84,0.986,1.0
0.85,0.987,1.0
0.86,0.989,1.0
0.87,0.989,1.0
0.88,0.991,1.0
0.89,0.993,1.0
0.9,0.995,1.0
0.91,0.996,1.0
0.92,0.998,1.0
0.93,0.999,1.0
0.94,0.999,1.0
0.95,1.0,1.0
0.96,1.0,1.0
0.97,1.0,1.0
0.98,1.0,1.0
0.99,1.0,1.0
1.0,1.0,1.0
