θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.04,0.428
0.02,0.085,0.6
0.03,0.125,0.7
0.04,0.179,0.772
0.05,0.226,0.82
0.06,0.272,0.852
0.07,0.317,0.885
0.08,0.349,0.905
0.09,0.386,0.918
0.1,0.434,0.932
0.11,0.468,0.941
0.12,0.503,0.95
0.13,0.523,0.953
0.14,0.56,0.956
0.15,0.59,0.961
0.16,0.609,0.967
0.17,0.632,0.973
0.18,0.665,0.975
0.19,0.683,0.978
0.2,0.709,0.978
0.21,0.725,0.981
0.22,0.741,0.984
0.23,0.749,0.985
0.24,0.765,0.985
0.25,0.777,0.985
0.26,0.788,0.985
0.27,0.795,0.986
0.28,0.808,0.989
0.29,0.821,0.989
0.3,0.837,0.989
0.31,0.851,0.989
0.32,0.858,0.989
0.33,0.868,0.99
0.34,0.876,0.99
0.35,0.881,0.991
0.36,0.886,0.992
0.37,0.894,0.992
0.38,0.901,0.993
0.39,0.905,0.996
0.4,0.913,0.996
0.41,0.919,0.997
0.42,0.923,0.998
0.43,0.927,0.998
0.44,0.932,0.998
0.45,0.935,0.998
0.46,0.935,0.999
0.47,0.939,0.999
0.48,0.941,0.999
0.49,0.941,1.0
0.5,0.944,1.0
0.51,0.949,1.0
0.52,0.95,1.0
0.53,0.953,1.0
0.54,0.956,1.0
0.55,0.958,1.0
0.56,0.959,1.0
0.57,0.96,1.0
0.58,0.964,1.0
0.59,0.964,1.0
0.6,0.965,1.0
0.61,0.968,1.0
0.62,0.968,1.0
0.63,0.968,1.0
0.64,0.969,1.0
0.65,0.969,1.0
0.66,0.97,1.0
0.67,0.973,1.0
0.68,0.973,1.0
0.69,0.974,1.0
0.7,0.974,1.0
0.71,0.974,1.0
0.72,0.976,1.0
0.73,0.98,1.0
0.74,0.981,1.0
0.75,0.983,1.0
0.76,0.983,1.0
0.77,0.984,1.0
0.78,0.985,1.0
0.79,0.986,1.0
0.8,0.987,1.0
0.81,0.988,1.0
0.82,0.989,1.0
0.83,0.99,1.0
0.84,0.99,1.0
0.85,0.99,1.0
0.86,0.99,1.0
0.87,0.99,1.0
0.88,0.991,1.0
0.89,0.993,1.0
0.9,0.993,1.0
0.91,0.994,1.0
0.92,0.994,1.0
0.93,0.994,1.0
0.94,0.994,1.0
0.95,0.995,1.0
0.96,0.995,1.0
0.97,0.996,1.0
0.98,0.996,1.0
0.99,0.998,1.0
1.0,1.0,1.0
