θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.014,0.014
0.02,0.026,0.034
0.03,0.034,0.062
0.04,0.048,0.074
0.05,0.052,0.092
0.06,0.056,0.121
0.07,0.069,0.147
0.08,0.079,0.181
0.09,0.081,0.205
0.1,0.088,0.232
0.11,0.095,0.259
0.12,0.112,0.294
0.13,0.125,0.329
0.14,0.132,0.351
0.15,0.137,0.388
0.16,0.146,0.416
0.17,0.153,0.443
0.18,0.158,0.484
0.19,0.167,0.515
0.2,0.174,0.548
0.21,0.185,0.574
0.22,0.191,0.601
0.23,0.198,0.63
0.24,0.207,0.655
0.25,0.215,0.687
0.26,0.225,0.721
0.27,0.233,0.762
0.28,0.242,0.791
0.29,0.257,0.819
0.3,0.263,0.845
0.31,0.272,0.866
0.32,0.276,0.883
0.33,0.284,0.905
0.34,0.292,0.916
0.35,0.304,0.936
0.36,0.313,0.946
0.37,0.323,0.958
0.38,0.327,0.964
0.39,0.337,0.97
0.4,0.344,0.976
0.41,0.355,0.984
0.42,0.364,0.989
0.43,0.369,0.994
0.44,0.383,0.995
0.45,0.394,0.997
0.46,0.401,0.998
0.47,0.414,0.999
0.48,0.426,0.999
0.49,0.434,0.999
0.5,0.447,0.999
0.51,0.459,0.999
0.52,0.472,0.999
0.53,0.484,0.999
0.54,0.502,0.999
0.55,0.519,0.999
0.56,0.531,0.999
0.57,0.543,1.0
0.58,0.559,1.0
0.59,0.574,1.0
0.6,0.59,1.0
0.61,0.599,1.0
0.62,0.607,1.0
0.63,0.62,1.0
0.64,0.628,1.0
0.65,0.642,1.0
0.66,0.653,1.0
0.67,0.665,1.0
0.68,0.674,1.0
0.69,0.687,1.0
0.7,0.702,1.0
0.71,0.712,1.0
0.72,0.719,1.0
0.73,0.731,1.0
0.74,0.743,1.0
0.75,0.756,1.0
0.76,0.765,1.0
0.77,0.774,1.0
0.78,0.784,1.0
0.79,0.792,1.0
0.8,0.8,1.0
0.81,0.809,1.0
0.82,0.815,1.0
0.83,0.827,1.0
0.84,0.836,1.0
0.85,0.846,1.0
0.86,0.857,1.0
0.87,0.864,1.0
0.88,0.872,1.0
0.89,0.879,1.0
0.9,0.881,1.0
0.91,0.884,1.0
0.92,0.893,1.0
0.93,0.898,1.0
0.94,0.906,1.0
0.95,0.911,1.0
0.96,0.916,1.0
0.97,0.921,1.0
0.98,0.924,1.0
0.99,0.934,1.0
1.0,0.94,1.0
