n,m = 2,m = 4,m = 8,m = 16,m = 32,m = 64,m = 128,m = 256,m = 512,m = 1024
n = 100,0.53,0.67,0.62,0.68,0.51,0.59,0.7,0.78,0.74,0.46
n = 200,0.72,0.8,0.82,0.84,0.9,0.92,0.95,0.95,0.89,0.9
