n,m = 2,m = 4,m = 8,m = 16,m = 32,m = 64,m = 128,m = 256,m = 512,m = 1024
n = 100,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
n = 200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
