n,m = 16,m = 32,m = 64,m = 128,m = 256
16,0.0,1.0,1.0,0.0,-1.0
32,0.0,0.0,0.0,5.0,-1.0
64,1.0,1.0,5.0,5.0,-1.0
128,0.0,5.0,5.0,5.0,-1.0
256,-1.0,-1.0,-1.0,-1.0,-1.0
