n,5,10,50,100,200,300
10,0.13,0.08,0.34,0.22,0.21,0.2
50,0.64,0.74,0.95,0.78,0.88,0.72
100,0.86,0.98,0.99,0.99,1.0,0.99
200,1.0,1.0,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0,1.0,1.0
