n,2,5,10,50,100,200,300
10,0.03,0.28,0.16,0.36,0.36,0.31,0.43
50,0.08,0.41,0.79,1.0,1.0,1.0,1.0
100,0.34,0.86,1.0,1.0,1.0,1.0,1.0
200,0.49,1.0,1.0,1.0,1.0,1.0,1.0
300,0.87,1.0,1.0,1.0,1.0,1.0,1.0
