θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.014,0.081
0.02,0.036,0.151
0.03,0.06,0.215
0.04,0.078,0.266
0.05,0.089,0.315
0.06,0.102,0.361
0.07,0.114,0.394
0.08,0.125,0.423
0.09,0.138,0.453
0.1,0.15,0.482
0.11,0.163,0.515
0.12,0.173,0.54
0.13,0.188,0.562
0.14,0.194,0.586
0.15,0.202,0.605
0.16,0.215,0.636
0.17,0.226,0.654
0.18,0.237,0.668
0.19,0.25,0.678
0.2,0.267,0.694
0.21,0.277,0.709
0.22,0.286,0.722
0.23,0.298,0.732
0.24,0.306,0.748
0.25,0.316,0.76
0.26,0.328,0.773
0.27,0.342,0.785
0.28,0.348,0.798
0.29,0.355,0.807
0.3,0.366,0.815
0.31,0.377,0.826
0.32,0.393,0.839
0.33,0.401,0.85
0.34,0.408,0.854
0.35,0.415,0.862
0.36,0.425,0.866
0.37,0.435,0.872
0.38,0.449,0.879
0.39,0.453,0.884
0.4,0.462,0.888
0.41,0.475,0.889
0.42,0.487,0.895
0.43,0.504,0.901
0.44,0.518,0.907
0.45,0.532,0.909
0.46,0.544,0.913
0.47,0.551,0.918
0.48,0.564,0.923
0.49,0.575,0.93
0.5,0.583,0.934
0.51,0.599,0.935
0.52,0.617,0.938
0.53,0.632,0.939
0.54,0.64,0.939
0.55,0.649,0.942
0.56,0.663,0.946
0.57,0.674,0.948
0.58,0.689,0.95
0.59,0.701,0.952
0.6,0.718,0.955
0.61,0.727,0.958
0.62,0.746,0.96
0.63,0.76,0.961
0.64,0.772,0.961
0.65,0.78,0.962
0.66,0.791,0.963
0.67,0.8,0.965
0.68,0.807,0.968
0.69,0.818,0.968
0.7,0.83,0.971
0.71,0.835,0.974
0.72,0.841,0.974
0.73,0.85,0.977
0.74,0.855,0.977
0.75,0.864,0.977
0.76,0.873,0.979
0.77,0.879,0.98
0.78,0.887,0.981
0.79,0.897,0.984
0.8,0.908,0.988
0.81,0.915,0.99
0.82,0.919,0.99
0.83,0.924,0.991
0.84,0.929,0.993
0.85,0.932,0.994
0.86,0.936,0.995
0.87,0.939,0.995
0.88,0.944,0.996
0.89,0.952,0.996
0.9,0.956,0.996
0.91,0.961,0.996
0.92,0.964,0.996
0.93,0.964,0.996
0.94,0.969,0.997
0.95,0.977,0.997
0.96,0.984,0.998
0.97,0.99,0.999
0.98,0.995,1.0
0.99,0.995,1.0
1.0,0.996,1.0
