θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.007,0.017
0.02,0.019,0.032
0.03,0.029,0.045
0.04,0.041,0.065
0.05,0.05,0.087
0.06,0.059,0.113
0.07,0.067,0.13
0.08,0.077,0.157
0.09,0.083,0.173
0.1,0.093,0.193
0.11,0.1,0.222
0.12,0.103,0.247
0.13,0.114,0.268
0.14,0.115,0.291
0.15,0.122,0.321
0.16,0.131,0.347
0.17,0.139,0.368
0.18,0.146,0.399
0.19,0.149,0.425
0.2,0.157,0.451
0.21,0.161,0.478
0.22,0.168,0.5
0.23,0.175,0.536
0.24,0.181,0.568
0.25,0.193,0.603
0.26,0.203,0.631
0.27,0.208,0.657
0.28,0.216,0.674
0.29,0.227,0.703
0.3,0.235,0.724
0.31,0.242,0.748
0.32,0.249,0.771
0.33,0.252,0.794
0.34,0.263,0.817
0.35,0.274,0.83
0.36,0.282,0.842
0.37,0.296,0.858
0.38,0.302,0.866
0.39,0.308,0.874
0.4,0.319,0.891
0.41,0.326,0.899
0.42,0.339,0.906
0.43,0.352,0.915
0.44,0.366,0.924
0.45,0.369,0.932
0.46,0.383,0.938
0.47,0.396,0.946
0.48,0.401,0.951
0.49,0.411,0.956
0.5,0.422,0.959
0.51,0.428,0.963
0.52,0.436,0.969
0.53,0.447,0.974
0.54,0.46,0.981
0.55,0.473,0.982
0.56,0.482,0.983
0.57,0.49,0.986
0.58,0.503,0.988
0.59,0.51,0.99
0.6,0.519,0.993
0.61,0.529,0.994
0.62,0.539,0.995
0.63,0.55,0.996
0.64,0.563,0.996
0.65,0.574,0.997
0.66,0.583,0.997
0.67,0.594,0.997
0.68,0.607,0.998
0.69,0.611,0.999
0.7,0.62,0.999
0.71,0.631,0.999
0.72,0.644,0.999
0.73,0.662,0.999
0.74,0.674,0.999
0.75,0.687,0.999
0.76,0.698,0.999
0.77,0.708,0.999
0.78,0.718,0.999
0.79,0.726,0.999
0.8,0.741,0.999
0.81,0.749,0.999
0.82,0.762,0.999
0.83,0.775,0.999
0.84,0.791,0.999
0.85,0.808,0.999
0.86,0.815,0.999
0.87,0.833,0.999
0.88,0.845,0.999
0.89,0.849,0.999
0.9,0.853,0.999
0.91,0.86,0.999
0.92,0.865,0.999
0.93,0.872,0.999
0.94,0.882,0.999
0.95,0.893,1.0
0.96,0.903,1.0
0.97,0.91,1.0
0.98,0.917,1.0
0.99,0.927,1.0
1.0,0.939,1.0
