θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.013,0.014
0.02,0.026,0.024
0.03,0.031,0.032
0.04,0.041,0.037
0.05,0.048,0.045
0.06,0.055,0.052
0.07,0.068,0.059
0.08,0.074,0.067
0.09,0.082,0.079
0.1,0.092,0.095
0.11,0.101,0.101
0.12,0.107,0.107
0.13,0.117,0.114
0.14,0.132,0.12
0.15,0.141,0.129
0.16,0.153,0.145
0.17,0.168,0.153
0.18,0.169,0.166
0.19,0.182,0.177
0.2,0.189,0.194
0.21,0.198,0.203
0.22,0.209,0.215
0.23,0.222,0.228
0.24,0.23,0.238
0.25,0.239,0.244
0.26,0.251,0.255
0.27,0.256,0.263
0.28,0.269,0.273
0.29,0.281,0.283
0.3,0.292,0.291
0.31,0.301,0.295
0.32,0.309,0.309
0.33,0.327,0.326
0.34,0.338,0.337
0.35,0.351,0.347
0.36,0.369,0.357
0.37,0.377,0.368
0.38,0.392,0.38
0.39,0.405,0.392
0.4,0.42,0.406
0.41,0.429,0.416
0.42,0.441,0.425
0.43,0.45,0.437
0.44,0.457,0.447
0.45,0.465,0.462
0.46,0.475,0.477
0.47,0.485,0.483
0.48,0.494,0.491
0.49,0.504,0.502
0.5,0.512,0.511
0.51,0.516,0.52
0.52,0.527,0.531
0.53,0.54,0.542
0.54,0.55,0.553
0.55,0.558,0.566
0.56,0.569,0.576
0.57,0.581,0.587
0.58,0.59,0.599
0.59,0.597,0.608
0.6,0.604,0.623
0.61,0.612,0.636
0.62,0.622,0.647
0.63,0.628,0.656
0.64,0.639,0.665
0.65,0.65,0.678
0.66,0.654,0.691
0.67,0.657,0.698
0.68,0.669,0.705
0.69,0.679,0.715
0.7,0.689,0.721
0.71,0.7,0.727
0.72,0.71,0.734
0.73,0.717,0.743
0.74,0.73,0.748
0.75,0.739,0.758
0.76,0.749,0.763
0.77,0.757,0.771
0.78,0.77,0.774
0.79,0.787,0.784
0.8,0.795,0.797
0.81,0.805,0.807
0.82,0.816,0.82
0.83,0.823,0.832
0.84,0.833,0.842
0.85,0.846,0.848
0.86,0.855,0.863
0.87,0.863,0.872
0.88,0.868,0.882
0.89,0.879,0.889
0.9,0.89,0.895
0.91,0.899,0.906
0.92,0.911,0.919
0.93,0.924,0.925
0.94,0.931,0.939
0.95,0.938,0.953
0.96,0.956,0.965
0.97,0.963,0.972
0.98,0.975,0.975
0.99,0.987,0.984
1.0,0.995,0.992
