θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.007,0.003
0.02,0.02,0.018
0.03,0.029,0.029
0.04,0.041,0.035
0.05,0.048,0.044
0.06,0.054,0.054
0.07,0.067,0.065
0.08,0.076,0.08
0.09,0.082,0.088
0.1,0.093,0.096
0.11,0.11,0.103
0.12,0.125,0.113
0.13,0.134,0.122
0.14,0.141,0.131
0.15,0.15,0.14
0.16,0.158,0.15
0.17,0.171,0.16
0.18,0.181,0.169
0.19,0.191,0.185
0.2,0.201,0.197
0.21,0.206,0.205
0.22,0.215,0.214
0.23,0.228,0.22
0.24,0.238,0.231
0.25,0.248,0.243
0.26,0.266,0.252
0.27,0.274,0.265
0.28,0.285,0.277
0.29,0.296,0.285
0.3,0.302,0.292
0.31,0.307,0.3
0.32,0.317,0.313
0.33,0.328,0.322
0.34,0.337,0.328
0.35,0.345,0.338
0.36,0.358,0.346
0.37,0.365,0.358
0.38,0.38,0.369
0.39,0.394,0.379
0.4,0.4,0.391
0.41,0.408,0.4
0.42,0.414,0.41
0.43,0.419,0.421
0.44,0.428,0.43
0.45,0.438,0.441
0.46,0.446,0.45
0.47,0.456,0.459
0.48,0.465,0.465
0.49,0.479,0.474
0.5,0.489,0.483
0.51,0.497,0.498
0.52,0.508,0.511
0.53,0.527,0.517
0.54,0.539,0.532
0.55,0.546,0.545
0.56,0.555,0.561
0.57,0.569,0.571
0.58,0.577,0.581
0.59,0.59,0.592
0.6,0.598,0.604
0.61,0.61,0.612
0.62,0.625,0.624
0.63,0.631,0.635
0.64,0.639,0.644
0.65,0.656,0.65
0.66,0.665,0.659
0.67,0.679,0.67
0.68,0.689,0.678
0.69,0.697,0.69
0.7,0.708,0.699
0.71,0.719,0.708
0.72,0.73,0.714
0.73,0.739,0.728
0.74,0.751,0.735
0.75,0.769,0.746
0.76,0.773,0.756
0.77,0.785,0.77
0.78,0.796,0.778
0.79,0.804,0.787
0.8,0.812,0.795
0.81,0.823,0.804
0.82,0.831,0.815
0.83,0.836,0.828
0.84,0.841,0.839
0.85,0.848,0.845
0.86,0.859,0.857
0.87,0.865,0.868
0.88,0.875,0.88
0.89,0.886,0.891
0.9,0.894,0.901
0.91,0.898,0.907
0.92,0.909,0.915
0.93,0.92,0.931
0.94,0.931,0.939
0.95,0.943,0.95
0.96,0.949,0.956
0.97,0.955,0.964
0.98,0.967,0.974
0.99,0.986,0.983
1.0,0.993,0.993
