θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.01,0.012
0.02,0.025,0.023
0.03,0.033,0.037
0.04,0.042,0.051
0.05,0.056,0.061
0.06,0.066,0.07
0.07,0.08,0.075
0.08,0.087,0.084
0.09,0.094,0.095
0.1,0.107,0.104
0.11,0.117,0.112
0.12,0.132,0.122
0.13,0.148,0.129
0.14,0.158,0.141
0.15,0.167,0.149
0.16,0.174,0.156
0.17,0.187,0.171
0.18,0.195,0.182
0.19,0.202,0.194
0.2,0.209,0.206
0.21,0.215,0.219
0.22,0.223,0.231
0.23,0.236,0.246
0.24,0.251,0.26
0.25,0.263,0.268
0.26,0.274,0.276
0.27,0.289,0.289
0.28,0.293,0.295
0.29,0.301,0.309
0.3,0.31,0.318
0.31,0.317,0.328
0.32,0.324,0.341
0.33,0.338,0.352
0.34,0.351,0.359
0.35,0.364,0.371
0.36,0.375,0.378
0.37,0.389,0.391
0.38,0.399,0.402
0.39,0.408,0.421
0.4,0.424,0.432
0.41,0.43,0.451
0.42,0.444,0.454
0.43,0.466,0.459
0.44,0.475,0.468
0.45,0.478,0.481
0.46,0.49,0.491
0.47,0.498,0.5
0.48,0.509,0.506
0.49,0.519,0.524
0.5,0.529,0.531
0.51,0.54,0.547
0.52,0.551,0.555
0.53,0.559,0.571
0.54,0.571,0.58
0.55,0.577,0.589
0.56,0.588,0.597
0.57,0.6,0.608
0.58,0.607,0.623
0.59,0.615,0.632
0.6,0.622,0.64
0.61,0.636,0.649
0.62,0.643,0.659
0.63,0.653,0.661
0.64,0.661,0.669
0.65,0.673,0.675
0.66,0.68,0.68
0.67,0.69,0.692
0.68,0.697,0.697
0.69,0.703,0.712
0.7,0.709,0.725
0.71,0.722,0.735
0.72,0.733,0.74
0.73,0.746,0.747
0.74,0.759,0.751
0.75,0.767,0.757
0.76,0.775,0.769
0.77,0.782,0.784
0.78,0.788,0.794
0.79,0.796,0.801
0.8,0.809,0.809
0.81,0.821,0.816
0.82,0.829,0.82
0.83,0.835,0.83
0.84,0.845,0.848
0.85,0.858,0.854
0.86,0.867,0.863
0.87,0.875,0.871
0.88,0.88,0.877
0.89,0.886,0.882
0.9,0.898,0.89
0.91,0.908,0.897
0.92,0.92,0.916
0.93,0.927,0.927
0.94,0.929,0.936
0.95,0.94,0.944
0.96,0.949,0.955
0.97,0.957,0.965
0.98,0.97,0.969
0.99,0.981,0.978
1.0,0.987,0.99
