θs,tp_hipm,tp_wow
0.0,0.0,0.0
0.01,0.015,0.071
0.02,0.031,0.142
0.03,0.053,0.202
0.04,0.084,0.267
0.05,0.109,0.325
0.06,0.129,0.367
0.07,0.16,0.414
0.08,0.179,0.447
0.09,0.212,0.483
0.1,0.235,0.513
0.11,0.251,0.538
0.12,0.27,0.57
0.13,0.285,0.602
0.14,0.311,0.626
0.15,0.329,0.644
0.16,0.351,0.663
0.17,0.37,0.679
0.18,0.391,0.695
0.19,0.406,0.715
0.2,0.42,0.737
0.21,0.436,0.754
0.22,0.455,0.768
0.23,0.478,0.779
0.24,0.491,0.793
0.25,0.505,0.801
0.26,0.521,0.808
0.27,0.533,0.821
0.28,0.543,0.834
0.29,0.557,0.843
0.3,0.569,0.849
0.31,0.587,0.855
0.32,0.593,0.866
0.33,0.599,0.869
0.34,0.614,0.878
0.35,0.624,0.882
0.36,0.629,0.889
0.37,0.64,0.896
0.38,0.645,0.898
0.39,0.651,0.903
0.4,0.659,0.906
0.41,0.666,0.914
0.42,0.674,0.917
0.43,0.678,0.918
0.44,0.688,0.922
0.45,0.695,0.923
0.46,0.697,0.925
0.47,0.701,0.928
0.48,0.705,0.93
0.49,0.712,0.931
0.5,0.715,0.931
0.51,0.72,0.936
0.52,0.728,0.94
0.53,0.737,0.944
0.54,0.742,0.95
0.55,0.751,0.953
0.56,0.759,0.96
0.57,0.766,0.961
0.58,0.771,0.962
0.59,0.781,0.963
0.6,0.786,0.963
0.61,0.79,0.964
0.62,0.798,0.966
0.63,0.801,0.967
0.64,0.806,0.969
0.65,0.812,0.971
0.66,0.819,0.973
0.67,0.824,0.977
0.68,0.825,0.978
0.69,0.836,0.98
0.7,0.842,0.981
0.71,0.848,0.983
0.72,0.852,0.983
0.73,0.86,0.985
0.74,0.869,0.986
0.75,0.873,0.986
0.76,0.875,0.986
0.77,0.88,0.986
0.78,0.883,0.986
0.79,0.888,0.987
0.8,0.894,0.988
0.81,0.9,0.989
0.82,0.903,0.99
0.83,0.906,0.99
0.84,0.908,0.991
0.85,0.915,0.991
0.86,0.926,0.992
0.87,0.933,0.993
0.88,0.937,0.993
0.89,0.939,0.993
0.9,0.943,0.993
0.91,0.948,0.993
0.92,0.954,0.993
0.93,0.957,0.996
0.94,0.964,0.997
0.95,0.971,0.997
0.96,0.975,0.997
0.97,0.981,0.997
0.98,0.987,0.998
0.99,0.995,0.998
1.0,0.997,1.0
