n,100,200,300,400,500,600,700,800,900,1000
100,1,1,1,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1,1
400,1,2,1,1,2,2,2,2,2,2
500,2,3,2,2,2,2,2,2,2,2
600,3,3,2,2,2,3,3,3,2,3
700,3,3,3,3,4,3,3,3,3,3
800,3,3,4,3,4,4,3,4,3,3
900,4,4,4,4,4,4,4,4,4,4
1000,4,5,5,5,5,5,5,5,5,5
