θs,fp_hipm,fp_wow
0.0,0.0,0.0
0.01,0.008,0.011
0.02,0.018,0.015
0.03,0.03,0.024
0.04,0.035,0.036
0.05,0.044,0.046
0.06,0.056,0.058
0.07,0.063,0.064
0.08,0.076,0.072
0.09,0.086,0.091
0.1,0.1,0.103
0.11,0.112,0.113
0.12,0.123,0.129
0.13,0.134,0.138
0.14,0.146,0.144
0.15,0.157,0.157
0.16,0.164,0.169
0.17,0.169,0.176
0.18,0.182,0.183
0.19,0.192,0.188
0.2,0.199,0.2
0.21,0.212,0.204
0.22,0.22,0.214
0.23,0.227,0.23
0.24,0.239,0.24
0.25,0.246,0.249
0.26,0.259,0.258
0.27,0.267,0.266
0.28,0.278,0.276
0.29,0.284,0.284
0.3,0.289,0.297
0.31,0.302,0.306
0.32,0.31,0.318
0.33,0.32,0.33
0.34,0.329,0.338
0.35,0.337,0.349
0.36,0.348,0.358
0.37,0.361,0.365
0.38,0.372,0.374
0.39,0.38,0.385
0.4,0.391,0.395
0.41,0.399,0.404
0.42,0.407,0.419
0.43,0.414,0.428
0.44,0.425,0.433
0.45,0.434,0.443
0.46,0.442,0.455
0.47,0.452,0.464
0.48,0.465,0.47
0.49,0.477,0.482
0.5,0.487,0.488
0.51,0.497,0.495
0.52,0.506,0.508
0.53,0.514,0.523
0.54,0.529,0.532
0.55,0.539,0.545
0.56,0.552,0.555
0.57,0.566,0.564
0.58,0.576,0.573
0.59,0.582,0.58
0.6,0.59,0.588
0.61,0.594,0.599
0.62,0.6,0.615
0.63,0.608,0.621
0.64,0.62,0.63
0.65,0.637,0.637
0.66,0.642,0.645
0.67,0.652,0.657
0.68,0.662,0.667
0.69,0.668,0.675
0.7,0.679,0.685
0.71,0.688,0.697
0.72,0.699,0.705
0.73,0.712,0.717
0.74,0.726,0.726
0.75,0.738,0.737
0.76,0.753,0.751
0.77,0.765,0.761
0.78,0.773,0.768
0.79,0.785,0.777
0.8,0.795,0.789
0.81,0.808,0.806
0.82,0.82,0.814
0.83,0.829,0.825
0.84,0.835,0.837
0.85,0.842,0.848
0.86,0.853,0.856
0.87,0.862,0.864
0.88,0.873,0.879
0.89,0.89,0.886
0.9,0.899,0.894
0.91,0.91,0.904
0.92,0.918,0.914
0.93,0.927,0.928
0.94,0.943,0.936
0.95,0.95,0.945
0.96,0.957,0.96
0.97,0.965,0.971
0.98,0.974,0.977
0.99,0.984,0.984
1.0,0.992,0.989
