n,m = 16,m = 32,m = 64,m = 128,m = 256
16,0.333,0.6,0.75,0.867,0.933
32,0.85,0.95,0.983,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,1.0
256,1.0,1.0,1.0,1.0,1.0
