δs,hipm,wow
0.0,0.05,0.048
0.05,0.07,0.072
0.1,0.056,0.07
0.15,0.082,0.076
0.2,0.07,0.076
0.25,0.1,0.128
0.3,0.098,0.122
0.35,0.136,0.152
0.4,0.13,0.17
0.45,0.172,0.208
0.5,0.196,0.246
0.55,0.232,0.326
0.6,0.238,0.298
0.65,0.312,0.396
0.7,0.452,0.472
0.75,0.58,0.534
0.8,0.734,0.604
0.85,0.866,0.736
0.9,0.942,0.786
0.95,0.994,0.902
1.0,0.996,0.948
1.05,0.992,0.972
1.1,1.0,0.996
1.15,1.0,0.998
1.2,1.0,1.0
1.25,1.0,1.0
1.3,1.0,1.0
1.35,1.0,1.0
1.4,1.0,1.0
1.45,1.0,1.0
1.5,1.0,1.0
