δs,hipm,wow
0.0,0.06,0.052
0.05,0.06,0.056
0.1,0.068,0.088
0.15,0.06,0.07
0.2,0.072,0.074
0.25,0.072,0.086
0.3,0.096,0.128
0.35,0.09,0.116
0.4,0.148,0.17
0.45,0.132,0.158
0.5,0.148,0.18
0.55,0.166,0.24
0.6,0.172,0.234
0.65,0.206,0.276
0.7,0.276,0.358
0.75,0.312,0.394
0.8,0.45,0.452
0.85,0.574,0.558
0.9,0.74,0.646
0.95,0.838,0.72
1.0,0.918,0.774
1.05,0.944,0.846
1.1,0.98,0.928
1.15,0.994,0.954
1.2,0.998,0.974
1.25,1.0,0.99
1.3,1.0,1.0
1.35,1.0,0.992
1.4,1.0,1.0
1.45,1.0,1.0
1.5,1.0,1.0
