repeat,m,fp_hipm,fp_wow
1,10,0.049,0.045
1,20,0.048,0.049
1,30,0.042,0.045
1,40,0.049,0.043
1,50,0.048,0.052
2,10,0.058,0.055
2,20,0.066,0.067
2,30,0.064,0.062
2,40,0.068,0.067
2,50,0.063,0.064
3,10,0.054,0.048
3,20,0.056,0.058
3,30,0.048,0.057
3,40,0.052,0.055
3,50,0.051,0.053
4,10,0.044,0.042
4,20,0.044,0.048
4,30,0.051,0.05
4,40,0.049,0.051
4,50,0.051,0.047
5,10,0.043,0.048
5,20,0.047,0.054
5,30,0.052,0.051
5,40,0.055,0.05
5,50,0.051,0.049
6,10,0.047,0.044
6,20,0.041,0.054
6,30,0.053,0.054
6,40,0.056,0.053
6,50,0.045,0.056
7,10,0.06,0.053
7,20,0.057,0.054
7,30,0.055,0.049
7,40,0.052,0.046
7,50,0.052,0.053
8,10,0.039,0.034
8,20,0.044,0.054
8,30,0.066,0.059
8,40,0.053,0.06
8,50,0.045,0.054
9,10,0.044,0.039
9,20,0.04,0.033
9,30,0.036,0.044
9,40,0.041,0.036
9,50,0.046,0.043
10,10,0.05,0.043
10,20,0.056,0.051
10,30,0.049,0.048
10,40,0.047,0.048
10,50,0.055,0.045
