n,m = 4,m = 8,m = 16,m = 32,m = 64,m = 128,m = 256
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.01
32,0.01,0.01,0.01,0.01,0.02,0.01,0.02
64,0.07,0.05,0.05,0.05,0.06,0.07,0.1
128,0.34,0.33,0.35,0.34,0.36,0.42,0.63
256,2.26,2.35,2.3,2.39,2.34,2.53,3.69
