n,m = 4,m = 8,m = 16,m = 32,m = 64,m = 128,m = 256
4,0.07,0.03,0.06,0.01,0.03,0.08,0.04
8,0.08,0.22,0.16,0.05,0.16,0.05,0.21
16,0.25,0.41,0.4,0.22,0.36,0.58,0.29
32,0.7,0.77,0.93,0.66,0.69,0.74,1.26
64,0.44,0.54,0.44,0.44,0.64,0.45,0.29
128,0.34,0.38,0.37,0.38,0.39,0.36,0.4
256,0.37,0.4,0.44,0.46,0.44,0.41,0.48
