n,2,5,10,50,100,200,300
10,0.17,0.01,0.09,0.22,0.1,0.13,0.06
50,0.01,0.13,0.32,0.25,0.25,0.52,0.23
100,0.16,0.29,0.37,0.41,0.36,0.32,0.5
200,0.18,0.29,0.42,0.79,0.7,0.86,0.88
300,0.41,0.58,0.71,0.86,0.9,0.93,0.96
